file,geo,variable,tableid
A112101_11,puma,2+ persons under age 18,A112101
A112101_5,tad,All households,A112101
A112101_7,tad,No persons under age 18,A112101
A112101_9,tad,1 person under age 18,A112101
A112101_11,tad,2+ persons under age 18,A112101
A112101_5,tract,All households,A112101
A112101_7,tract,No persons under age 18,A112101
A112101_9,tract,1 person under age 18,A112101
A112101_11,tract,2+ persons under age 18,A112101
A112105_5,puma,"Total, all households",A112105
A112105_7,puma,Married couple family household with householder 15 to 64 years,A112105
A112105_9,puma,Married couple family household with householder 15 to 64 years: With own children under 18 years,A112105
A112105_11,puma,Married couple family household with householder 15 to 64 years: No own children under 18 years,A112105
A112105_13,puma,Married couple family household with householder 65 years and over,A112105
A112105_15,puma,Married couple family household with householder 65 years and over: With own children under 18 years,A112105
A112105_17,puma,Married couple family household with householder 65 years and over: No own children under 18 years,A112105
A112105_19,puma,Other family household,A112105
A112105_21,puma,Other family household: With own children under 18 years,A112105
A112105_23,puma,Other family household: No own children under 18 years,A112105
A112105_25,puma,Nonfamily household with householder 15 to 64 years,A112105
A112105_27,puma,Nonfamily household with householder 15 to 64 years: Living alone,A112105
A112105_29,puma,Nonfamily household with householder 15 to 64 years: Not living alone,A112105
A112105_31,puma,Nonfamily household with householder 65 years and over,A112105
A112105_33,puma,Nonfamily household with householder 65 years and over: Living alone,A112105
A112105_35,puma,Nonfamily household with householder 65 years and over: Not living alone,A112105
A112106_5,puma,Total households,A112106
A112106_7,puma,1-person household,A112106
A112106_9,puma,2-person household,A112106
A112106_11,puma,3-person household,A112106
A112106_13,puma,4-or-more person household,A112106
A112106_5,tad,Total households,A112106
A112106_7,tad,1-person household,A112106
A112106_9,tad,2-person household,A112106
A112106_11,tad,3-person household,A112106
A112106_13,tad,4-or-more person household,A112106
A112106_5,tract,Total households,A112106
A112106_7,tract,1-person household,A112106
A112106_9,tract,2-person household,A112106
A112106_11,tract,3-person household,A112106
A112106_13,tract,4-or-more person household,A112106
A112107_5,puma,Population in households,A112107
A112107_5,tad,Population in households,A112107
A112109_5,puma,"Total, number of workers in household",A112109
A112109_7,puma,0 workers,A112109
A112109_9,puma,1 worker,A112109
A112109_11,puma,2 workers,A112109
A112109_13,puma,3 workers,A112109
A112109_15,puma,4-or-more workers,A112109
A112109_5,tad,"Total, number of workers in household",A112109
A112109_7,tad,0 workers,A112109
A112109_9,tad,1 worker,A112109
A112109_11,tad,2 workers,A112109
A112109_13,tad,3 workers,A112109
A112109_15,tad,4-or-more workers,A112109
A112109_5,tract,"Total, number of workers in household",A112109
A112109_7,tract,0 workers,A112109
A112109_9,tract,1 worker,A112109
A112109_11,tract,2 workers,A112109
A112109_13,tract,3 workers,A112109
A112109_15,tract,4-or-more workers,A112109
A113100_5,puma,"Total, poverty status",A113100
A113100_7,puma,Below 100 percent of the poverty level,A113100
A113100_9,puma,100 to 149 percent of the poverty level,A113100
A113100_11,puma,At or above 150 percent of the poverty level,A113100
A113100_5,tad,"Total, poverty status",A113100
A113100_7,tad,Below 100 percent of the poverty level,A113100
A113100_9,tad,100 to 149 percent of the poverty level,A113100
A113100_11,tad,At or above 150 percent of the poverty level,A113100
A113100_5,tract,"Total, poverty status",A113100
A113100_7,tract,Below 100 percent of the poverty level,A113100
A113100_9,tract,100 to 149 percent of the poverty level,A113100
A113100_11,tract,At or above 150 percent of the poverty level,A113100
B107100_5,puma,"Workers per car, truck, or van",B107100
B107100_5,tad,"Workers per car, truck, or van",B107100
B111103_5,puma,Aggregate number of vehicles available,B111103
B111103_5,tad,Aggregate number of vehicles available,B111103
B111103_5,tract,Aggregate number of vehicles available,B111103
B112103_5,puma,Mean household income in the past 12 months,B112103
B112104_5,puma,Median household income in the past 12 months,B112104
B112108_5,puma,Mean number of persons per household,B112108
B112108_5,tad,Mean number of persons per household,B112108
B112108_5,tract,Mean number of persons per household,B112108
A101100_5,cty,Total population (All persons),A101100
A101101_5,cty,"Total, all ages",A101101
A101101_7,cty,Under 16 years,A101101
A101101_9,cty,16 and 17 years,A101101
A101101_11,cty,18 to 20 years,A101101
A101101_13,cty,21 to 24 years,A101101
A101101_15,cty,25 to 34 years,A101101
A101101_17,cty,35 to 44 years,A101101
A101101_19,cty,45 to 59 years,A101101
A101101_21,cty,60 to 64 years,A101101
A101101_23,cty,65 to 74 years,A101101
A101101_25,cty,75 years and over,A101101
A101102_5,cty,All persons,A101102
A101102_7,cty,Living in urban area,A101102
A101102_9,cty,Living in rural area,A101102
A101103_5,cty,"Total persons, Hispanic/Latino origin",A101103
A101103_7,cty,Hispanic or Latino,A101103
A101103_9,cty,Not Hispanic or Latino,A101103
A101104_5,cty,"Total, length of US residence",A101104
A101104_7,cty,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104
A101104_9,cty,In the US 2 years or less,A101104
A101104_11,cty,In the US 3 to 5 years,A101104
A101104_13,cty,In the US 6 to 9 years,A101104
A101104_15,cty,In the US 10 or more years,A101104
A101105_5,cty,Total persons,A101105
A101105_7,cty,"White alone, not Hispanic/Latino",A101105
A101105_9,cty,Other,A101105
A101108_5,cty,All races,A101108
A101108_7,cty,White alone,A101108
A101108_9,cty,Black or African American alone,A101108
A101108_11,cty,Asian alone,A101108
A101108_13,cty,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108
A101109_5,cty,"Total, school enrollment",A101109
A101109_7,cty,"Enrolled in nursery school, preschool, or kindergarten",A101109
A101109_9,cty,Enrolled in grade 1 to grade 8,A101109
A101109_11,cty,Enrolled in grade 9 to grade 12,A101109
A101109_13,cty,"Enrolled in college, graduate, or professional school",A101109
A101109_15,cty,Age 3 and over and not enrolled,A101109
A101109_17,cty,Age under 3,A101109
A101110_5,cty,Both sexes,A101110
A101110_7,cty,Male,A101110
A101110_9,cty,Female,A101110
A102101_5,cty,Workers 16 and over,A102101
A102102_5,cty,"Total, all ages 16 years and over",A102102
A102102_7,cty,16 and 17 years,A102102
A102102_9,cty,18 to 24 years,A102102
A102102_11,cty,25 to 44 years,A102102
A102102_13,cty,45 to 59 years,A102102
A102102_15,cty,60 to 64 years,A102102
A102102_17,cty,65 to 74 years,A102102
A102102_19,cty,75 years and over,A102102
A102103_5,cty,"Total, all class of worker",A102103
A102103_7,cty,Private for-profit wage and salary workers,A102103
A102103_9,cty,Private not-for-profit wage and salary workers,A102103
A102103_11,cty,Local government workers,A102103
A102103_13,cty,State government workers,A102103
A102103_15,cty,Federal government workers,A102103
A102103_17,cty,Self-employed workers in own not incorporated businesses,A102103
A102103_19,cty,"Self-emloyed workers in own, incorporated businesses",A102103
A102103_21,cty,Unpaid family workers,A102103
A102104_5,cty,"Total, workers' earnings in the past 12 months",A102104
A102104_7,cty,"$1 to $9,999 or loss",A102104
A102104_9,cty,"$10,000 to $14,999",A102104
A102104_11,cty,"$15,000 to $24,999",A102104
A102104_13,cty,"$25,000 to $34,999",A102104
A102104_15,cty,"$35,000 to $49,999",A102104
A102104_17,cty,"$50,000 to $64,999",A102104
A102104_19,cty,"$65,000 to $74,999",A102104
A102104_21,cty,"$75,000 to $99,999",A102104
A102104_23,cty,"$100,000 or more",A102104
A102104_25,cty,No earnings in the past 12 months,A102104
A102105_5,cty,"Total, all industries",A102105
A102105_7,cty,"Agriculture, forestry, fishing and hunting, and mining",A102105
A102105_9,cty,Construction,A102105
A102105_11,cty,Manufacturing,A102105
A102105_13,cty,Wholesale trade,A102105
A102105_15,cty,Retail trade,A102105
A102105_17,cty,"Transportation and warehousing, and utilities",A102105
A102105_19,cty,Information,A102105
A102105_21,cty,"Finance, insurance, real estate and rental and leasing",A102105
A102105_23,cty,"Professional, scientific, management, administrative,  and waste management services",A102105
A102105_25,cty,"Educational, health and social services",A102105
A102105_27,cty,"Arts, entertainment, recreation, accommodation and food services",A102105
A102105_29,cty,Other services (except public administration),A102105
A102105_31,cty,Public administration,A102105
A102105_33,cty,Armed forces,A102105
A102106_5,cty,"Total, means of transportation",A102106
A102106_7,cty,"Car, truck, or van -- Drove alone",A102106
A102106_9,cty,"Car, truck, or van -- In a 2-person carpool",A102106
A102106_11,cty,"Car, truck, or van -- In a 3-person carpool",A102106
A102106_13,cty,"Car, truck, or van -- In a 4-person carpool",A102106
A102106_15,cty,"Car, truck, or van -- In a 5-or-6-person carpool",A102106
A102106_17,cty,"Car, truck, or van -- In a 7-or-more-person carpool",A102106
A102106_19,cty,Bus or trolley bus,A102106
A102106_21,cty,Streetcar or trolley car,A102106
A102106_23,cty,Subway or elevated,A102106
A102106_25,cty,Railroad,A102106
A102106_27,cty,Ferryboat,A102106
A102106_29,cty,Bicycle,A102106
A102106_31,cty,Walked,A102106
A102106_33,cty,Taxicab,A102106
A102106_35,cty,Motorcycle,A102106
A102106_37,cty,Other method,A102106
A102106_39,cty,Worked at home,A102106
A102107_5,cty,"Total, all occupations",A102107
A102107_7,cty,Management occupations,A102107
A102107_9,cty,Farmers and farm managers,A102107
A102107_11,cty,Business and financial operations specialists,A102107
A102107_13,cty,Computer and mathematical occupations,A102107
A102107_15,cty,Architecture and engineering occupations,A102107
A102107_17,cty,"Life, physical, and social science occupations",A102107
A102107_19,cty,Community and social service occupations,A102107
A102107_21,cty,Legal occupations,A102107
A102107_23,cty,"Education, training, and library occupations",A102107
A102107_25,cty,"Arts, design, entertainment, sports, and media occupations",A102107
A102107_27,cty,Healthcare practitioners and technicians occpuations,A102107
A102107_29,cty,Healthcare support occupations,A102107
A102107_31,cty,Protective service occupations,A102107
A102107_33,cty,Food preparation and serving related occupations,A102107
A102107_35,cty,Building and grounds cleaning and maintenance occupations,A102107
A102107_37,cty,Personal care and service occupations,A102107
A102107_39,cty,Sales and related occupations,A102107
A102107_41,cty,Office and administrative support occupations,A102107
A102107_43,cty,"Farming, fishing, and forestry occupations",A102107
A102107_45,cty,Construction and extraction occupations,A102107
A102107_47,cty,"Installation, maintenance, and repair occupations",A102107
A102107_49,cty,Production occupations,A102107
A102107_51,cty,Transportation and material moving occupations,A102107
A102107_53,cty,Armed Forces,A102107
A102108_5,cty,All workers,A102108
A102108_7,cty,Did not work at home,A102108
A102108_9,cty,5:00 a.m. to 5:14 a.m.,A102108
A102108_11,cty,5:15 a.m. to 5:29 a.m.,A102108
A102108_13,cty,5:30 a.m. to 5:44 a.m.,A102108
A102108_15,cty,5:45 a.m. to 5:59 a.m.,A102108
A102108_17,cty,6:00 a.m. to 6:14 a.m.,A102108
A102108_19,cty,6:15 a.m. to 6:29 a.m.,A102108
A102108_21,cty,6:30 a.m. to 6:44 a.m.,A102108
A102108_23,cty,6:45 a.m. to 6:59 a.m.,A102108
A102108_25,cty,7:00 a.m. to 7:14 a.m.,A102108
A102108_27,cty,7:15 a.m. to 7:29 a.m.,A102108
A102108_29,cty,7:30 a.m. to 7:44 a.m.,A102108
A102108_31,cty,7:45 a.m. to 7:59 a.m.,A102108
A102108_33,cty,8:00 a.m. to 8:14 a.m.,A102108
A102108_35,cty,8:15 a.m. to 8:29 a.m.,A102108
A102108_37,cty,8:30 a.m. to 8:44 a.m.,A102108
A102108_39,cty,8:45 a.m. to 8:59 a.m.,A102108
A102108_41,cty,9:00 a.m. to 9:14 a.m.,A102108
A102108_43,cty,9:15 a.m. to 9:29 a.m.,A102108
A102108_45,cty,9:30 a.m. to 9:44 a.m.,A102108
A102108_47,cty,9:45 a.m. to 9:59 a.m.,A102108
A102108_49,cty,10:00 a.m. to 10:14 a.m.,A102108
A102108_51,cty,10:15 a.m. to 10:29 a.m.,A102108
A102108_53,cty,10:30 a.m. to 10:44 a.m.,A102108
A102108_55,cty,10:45 a.m. to 10:59 a.m.,A102108
A102108_57,cty,11:00 a.m. to 11:59 a.m.,A102108
A102108_59,cty,12:00 p.m. to 12:59 p.m.,A102108
A102108_61,cty,1:00 p.m. to 1:59 p.m.,A102108
A102108_63,cty,2:00 p.m. to 2:59 p.m.,A102108
A102108_65,cty,3:00 p.m. to 3:59 p.m.,A102108
A102108_67,cty,4:00 p.m. to 4:59 p.m.,A102108
A102108_69,cty,5:00 p.m. to 5:59 p.m.,A102108
A102108_71,cty,6:00 p.m. to 6:59 p.m.,A102108
A102108_73,cty,7:00 p.m. to 7:59 p.m.,A102108
A102108_75,cty,8:00 p.m. to 8:59 p.m.,A102108
A102108_77,cty,9:00 p.m. to 9:59 p.m.,A102108
A102108_79,cty,10:00 p.m. to 10:59 p.m.,A102108
A102108_81,cty,11:00 p.m. to 11:59 p.m.,A102108
A102108_83,cty,12:00 a.m. to 4:59 a.m.,A102108
A102108_85,cty,Worked at home,A102108
A102109_5,cty,"Total, usual hours worked per week",A102109
A102109_7,cty,Usually worked 1 to 14 hours per week,A102109
A102109_9,cty,Usually worked 15 to 20 hours per week,A102109
A102109_11,cty,Usually worked 21 to 34 hours per week,A102109
A102109_13,cty,Usually worked 35 to 40 hours per week,A102109
A102109_15,cty,Usually worked 41 to 55 hours per week,A102109
A102109_17,cty,Usually worked 56 hours or more per week,A102109
A102110_5,cty,All workers,A102110
A102110_7,cty,Did not work at home,A102110
A102110_9,cty,Less than 5 minutes,A102110
A102110_11,cty,5 to 14 minutes,A102110
A102110_13,cty,15 to 19 minutes,A102110
A102110_15,cty,20 to 29 minutes,A102110
A102110_17,cty,30 to 44 minutes,A102110
A102110_19,cty,45 to 59 minutes,A102110
A102110_21,cty,60 to 74 minutes,A102110
A102110_23,cty,75 to 89 minutes,A102110
A102110_25,cty,90 minutes or more,A102110
A102110_27,cty,Worked at home,A102110
A103100_5,cty,Total workers in households,A103100
A105100_5,cty,"Total, all industries",A105100
A105100_7,cty,"Agriculture, forestry, fishing and hunting, and mining",A105100
A105100_9,cty,Construction,A105100
A105100_11,cty,Manufacturing,A105100
A105100_13,cty,Wholesale trade,A105100
A105100_15,cty,Retail trade,A105100
A105100_17,cty,"Transportation and warehousing, and utilities",A105100
A105100_19,cty,Information,A105100
A105100_21,cty,"Finance, insurance, real estate and rental and leasing",A105100
A105100_23,cty,"Professional, scientific, management, administrative,  and waste management services",A105100
A105100_25,cty,"Educational, health and social services",A105100
A105100_27,cty,"Arts, entertainment, recreation, accommodation and food services",A105100
A105100_29,cty,Other services (except public administration),A105100
A105100_31,cty,Public administration,A105100
A105100_33,cty,Armed forces,A105100
A110100_5,cty,Total housing units,A110100
A110104_5,cty,Total housing units,A110104
A110104_7,cty,"1 unit, detached",A110104
A110104_9,cty,"1 unit, attached",A110104
A110104_11,cty,2 to 4 units,A110104
A110104_13,cty,5 to 19 units,A110104
A110104_15,cty,20 to 49 units,A110104
A110104_17,cty,50 or more units,A110104
A110104_19,cty,Mobile home,A110104
A110104_21,cty,"Boat, RV, van, etc.",A110104
A110105_5,cty,Total housing units,A110105
A110105_7,cty,"Vacant, for rent",A110105
A110105_9,cty,"Vacant, for sale only",A110105
A110105_11,cty,"Vacant, for seasonal, recreational, or occasional use",A110105
A110105_13,cty,All other vacant,A110105
A110105_15,cty,Occupied,A110105
A111101_5,cty,Total households,A111101
A111101_7,cty,Owned with mortgage,A111101
A111101_9,cty,Owned without mortgage,A111101
A111101_11,cty,Rented,A111101
A111101_13,cty,Occupied without rent,A111101
A111102_5,cty,"Total, vehicles available",A111102
A111102_7,cty,0 vehicles,A111102
A111102_9,cty,1 vehicle,A111102
A111102_11,cty,2 vehicles,A111102
A111102_13,cty,3 vehicles,A111102
A111102_15,cty,4-or-more vehicles,A111102
A112100_5,cty,Total households,A112100
A112101_5,cty,All households,A112101
A112101_7,cty,No persons under age 18,A112101
A112101_9,cty,1 person under age 18,A112101
A112101_11,cty,2+ persons under age 18,A112101
A112105_5,cty,"Total, all households",A112105
A112105_7,cty,Married couple family household with householder 15 to 64 years,A112105
A112105_9,cty,Married couple family household with householder 15 to 64 years: With own children under 18 years,A112105
A112105_11,cty,Married couple family household with householder 15 to 64 years: No own children under 18 years,A112105
A112105_13,cty,Married couple family household with householder 65 years and over,A112105
A112105_15,cty,Married couple family household with householder 65 years and over: With own children under 18 years,A112105
A112105_17,cty,Married couple family household with householder 65 years and over: No own children under 18 years,A112105
A112105_19,cty,Other family household,A112105
A112105_21,cty,Other family household: With own children under 18 years,A112105
A112105_23,cty,Other family household: No own children under 18 years,A112105
A112105_25,cty,Nonfamily household with householder 15 to 64 years,A112105
A112105_27,cty,Nonfamily household with householder 15 to 64 years: Living alone,A112105
A112105_29,cty,Nonfamily household with householder 15 to 64 years: Not living alone,A112105
A112105_31,cty,Nonfamily household with householder 65 years and over,A112105
A112105_33,cty,Nonfamily household with householder 65 years and over: Living alone,A112105
A112105_35,cty,Nonfamily household with householder 65 years and over: Not living alone,A112105
A112106_5,cty,Total households,A112106
A112106_7,cty,1-person household,A112106
A112106_9,cty,2-person household,A112106
A112106_11,cty,3-person household,A112106
A112106_13,cty,4-or-more person household,A112106
A112107_5,cty,Population in households,A112107
A112109_5,cty,"Total, number of workers in household",A112109
A112109_7,cty,0 workers,A112109
A112109_9,cty,1 worker,A112109
A112109_11,cty,2 workers,A112109
A112109_13,cty,3 workers,A112109
A112109_15,cty,4-or-more workers,A112109
A113100_5,cty,"Total, poverty status",A113100
A113100_7,cty,Below 100 percent of the poverty level,A113100
A113100_9,cty,100 to 149 percent of the poverty level,A113100
A113100_11,cty,At or above 150 percent of the poverty level,A113100
B107100_5,cty,"Workers per car, truck, or van",B107100
B111103_5,cty,Aggregate number of vehicles available,B111103
B112103_5,cty,Mean household income in the past 12 months,B112103
B112104_5,cty,Median household income in the past 12 months,B112104
B112108_5,cty,Mean number of persons per household,B112108
