file,geo,variable,tableid,tableno
A102108_73,tract,7:00 p.m. to 7:59 p.m.,A102108,73
A102108_75,tract,8:00 p.m. to 8:59 p.m.,A102108,75
A102108_77,tract,9:00 p.m. to 9:59 p.m.,A102108,77
A102108_79,tract,10:00 p.m. to 10:59 p.m.,A102108,79
A102108_81,tract,11:00 p.m. to 11:59 p.m.,A102108,81
A102108_83,tract,12:00 a.m. to 4:59 a.m.,A102108,83
A102108_85,tract,Worked at home,A102108,85
A102109_5,tract,"Total, usual hours worked per week",A102109,5
A102109_7,tract,Usually worked 1 to 14 hours per week,A102109,7
A102109_9,tract,Usually worked 15 to 20 hours per week,A102109,9
A102109_11,tract,Usually worked 21 to 34 hours per week,A102109,11
A102109_13,tract,Usually worked 35 to 40 hours per week,A102109,13
A102109_15,tract,Usually worked 41 to 55 hours per week,A102109,15
A102109_17,tract,Usually worked 56 hours or more per week,A102109,17
A102110_5,tract,All workers,A102110,5
A102110_7,tract,Did not work at home,A102110,7
A102110_9,tract,Less than 5 minutes,A102110,9
A102110_11,tract,5 to 14 minutes,A102110,11
A102110_13,tract,15 to 19 minutes,A102110,13
A102110_15,tract,20 to 29 minutes,A102110,15
A102110_17,tract,30 to 44 minutes,A102110,17
A102110_19,tract,45 to 59 minutes,A102110,19
A102110_21,tract,60 to 74 minutes,A102110,21
A102110_23,tract,75 to 89 minutes,A102110,23
A102110_25,tract,90 minutes or more,A102110,25
A102110_27,tract,Worked at home,A102110,27
A103100_5,tract,Total workers in households,A103100,5
A111102_5,tract,"Total, vehicles available",A111102,5
A111102_7,tract,0 vehicles,A111102,7
A111102_9,tract,1 vehicle,A111102,9
A111102_11,tract,2 vehicles,A111102,11
A111102_13,tract,3 vehicles,A111102,13
A111102_15,tract,4-or-more vehicles,A111102,15
A112100_5,tract,Total households,A112100,5
A112101_5,tract,All households,A112101,5
A112101_7,tract,No persons under age 18,A112101,7
A112101_9,tract,1 person under age 18,A112101,9
A112101_11,tract,2+ persons under age 18,A112101,11
A112106_5,tract,Total households,A112106,5
A112106_7,tract,1-person household,A112106,7
A112106_9,tract,2-person household,A112106,9
A112106_11,tract,3-person household,A112106,11
A112106_13,tract,4-or-more person household,A112106,13
A112109_5,tract,"Total, number of workers in household",A112109,5
A112109_7,tract,0 workers,A112109,7
A112109_9,tract,1 worker,A112109,9
A112109_11,tract,2 workers,A112109,11
A112109_13,tract,3 workers,A112109,13
A112109_15,tract,4-or-more workers,A112109,15
A113100_5,tract,"Total, poverty status",A113100,5
A113100_7,tract,Below 100 percent of the poverty level,A113100,7
A113100_9,tract,100 to 149 percent of the poverty level,A113100,9
A113100_11,tract,At or above 150 percent of the poverty level,A113100,11
B111103_5,tract,Aggregate number of vehicles available,B111103,5
B112108_5,tract,Mean number of persons per household,B112108,5
A101100_5,taz,Total population (All persons),A101100,5
A101102_5,taz,All persons,A101102,5
A101102_7,taz,Living in urban area,A101102,7
A101102_9,taz,Living in rural area,A101102,9
A101103_5,taz,"Total persons, Hispanic/Latino origin",A101103,5
A101103_7,taz,Hispanic or Latino,A101103,7
A101103_9,taz,Not Hispanic or Latino,A101103,9
A101104_5,taz,"Total, length of US residence",A101104,5
A101104_7,taz,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,7
A101104_9,taz,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,9
A101104_11,taz,In the US 3 to 5 years,A101104,11
A101104_13,taz,In the US 6 to 9 years,A101104,13
A101104_15,taz,In the US 10 or more years,A101104,15
A101108_5,taz,All races,A101108,5
A101108_7,taz,White alone,A101108,7
A101108_9,taz,Black or African American alone,A101108,9
A101108_11,taz,Asian alone,A101108,11
A101108_13,taz,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108,13
A101109_5,taz,"Total, school enrollment",A101109,5
A101109_7,taz,"Enrolled in nursery school, preschool, or kindergarten",A101109,7
A101109_9,taz,Enrolled in grade 1 to grade 8,A101109,9
A101109_11,taz,Enrolled in grade 9 to grade 12,A101109,11
A101109_13,taz,"Enrolled in college, graduate, or professional school",A101109,13
A101109_15,taz,Age 3 and over and not enrolled,A101109,15
A101109_17,taz,Age under 3,A101109,17
A102101_5,taz,Workers 16 and over,A102101,5
A102104_5,taz,"Total, workers' earnings in the past 12 months",A102104,5
A102104_7,taz,"$1 to $9,999 or loss",A102104,7
A102104_9,taz,"$10,000 to $14,999",A102104,9
A102104_11,taz,"$15,000 to $24,999",A102104,11
A102104_13,taz,"$25,000 to $34,999",A102104,13
A102104_15,taz,"$35,000 to $49,999",A102104,15
A102104_17,taz,"$50,000 to $64,999",A102104,17
A102104_19,taz,"$65,000 to $74,999",A102104,19
A102104_21,taz,"$75,000 to $99,999",A102104,21
A102104_23,taz,"$100,000 or more",A102104,23
A102104_25,taz,No earnings in the past 12 months,A102104,25
A102105_5,taz,"Total, all industries",A102105,5
A102105_7,taz,"Agriculture, forestry, fishing and hunting, and mining",A102105,7
A102105_9,taz,Construction,A102105,9
A102105_11,taz,Manufacturing,A102105,11
A102105_13,taz,Wholesale trade,A102105,13
A102105_15,taz,Retail trade,A102105,15
A102105_17,taz,"Transportation and warehousing, and utilities",A102105,17
A102105_19,taz,Information,A102105,19
A102105_21,taz,"Finance, insurance, real estate and rental and leasing",A102105,21
A102105_23,taz,"Professional, scientific, management, administrative,  and waste management services",A102105,23
A102105_25,taz,"Educational, health and social services",A102105,25
A102105_27,taz,"Arts, entertainment, recreation, accommodation and food services",A102105,27
A102105_29,taz,Other services (except public administration),A102105,29
A102105_31,taz,Public administration,A102105,31
A102105_33,taz,Armed forces,A102105,33
A102106_5,taz,"Total, means of transportation",A102106,5
A102106_7,taz,"Car, truck, or van -- Drove alone",A102106,7
A102106_9,taz,"Car, truck, or van -- In a 2-person carpool",A102106,9
A102106_11,taz,"Car, truck, or van -- In a 3-person carpool",A102106,11
A102106_13,taz,"Car, truck, or van -- In a 4-person carpool",A102106,13
A102106_15,taz,"Car, truck, or van -- In a 5-or-6-person carpool",A102106,15
A102106_17,taz,"Car, truck, or van -- In a 7-or-more-person carpool",A102106,17
A102106_19,taz,Bus or trolley bus,A102106,19
A102106_21,taz,Streetcar or trolley car,A102106,21
A102106_23,taz,Subway or elevated,A102106,23
A102106_25,taz,Railroad,A102106,25
A102106_27,taz,Ferryboat,A102106,27
A102106_29,taz,Bicycle,A102106,29
A102106_31,taz,Walked,A102106,31
A102106_33,taz,Taxicab,A102106,33
A102106_35,taz,Motorcycle,A102106,35
A102106_37,taz,Other method,A102106,37
A102106_39,taz,Worked at home,A102106,39
A102107_5,taz,"Total, all occupations",A102107,5
A102107_7,taz,Management occupations,A102107,7
A102107_9,taz,Farmers and farm managers,A102107,9
A102107_11,taz,Business and financial operations specialists,A102107,11
A102107_13,taz,Computer and mathematical occupations,A102107,13
A102107_15,taz,Architecture and engineering occupations,A102107,15
A102107_17,taz,"Life, physical, and social science occupations",A102107,17
A102107_19,taz,Community and social service occupations,A102107,19
A102107_21,taz,Legal occupations,A102107,21
A102107_23,taz,"Education, training, and library occupations",A102107,23
A102107_25,taz,"Arts, design, entertainment, sports, and media occupations",A102107,25
A102107_27,taz,Healthcare practitioners and technicians occpuations,A102107,27
A102107_29,taz,Healthcare support occupations,A102107,29
A102107_31,taz,Protective service occupations,A102107,31
A102107_33,taz,Food preparation and serving related occupations,A102107,33
A102107_35,taz,Building and grounds cleaning and maintenance occupations,A102107,35
A102107_37,taz,Personal care and service occupations,A102107,37
A102107_39,taz,Sales and related occupations,A102107,39
A102107_41,taz,Office and administrative support occupations,A102107,41
A102107_43,taz,"Farming, fishing, and forestry occupations",A102107,43
A102107_45,taz,Construction and extraction occupations,A102107,45
A102107_47,taz,"Installation, maintenance, and repair occupations",A102107,47
A102107_49,taz,Production occupations,A102107,49
A102107_51,taz,Transportation and material moving occupations,A102107,51
A102107_53,taz,Armed Forces,A102107,53
A102108_5,taz,All workers,A102108,5
A102108_7,taz,Did not work at home,A102108,7
A102108_9,taz,5:00 a.m. to 5:14 a.m.,A102108,9
A102108_11,taz,5:15 a.m. to 5:29 a.m.,A102108,11
A102108_13,taz,5:30 a.m. to 5:44 a.m.,A102108,13
A102108_15,taz,5:45 a.m. to 5:59 a.m.,A102108,15
A102108_17,taz,6:00 a.m. to 6:14 a.m.,A102108,17
A102108_19,taz,6:15 a.m. to 6:29 a.m.,A102108,19
A102108_21,taz,6:30 a.m. to 6:44 a.m.,A102108,21
A102108_23,taz,6:45 a.m. to 6:59 a.m.,A102108,23
A102108_25,taz,7:00 a.m. to 7:14 a.m.,A102108,25
A102108_27,taz,7:15 a.m. to 7:29 a.m.,A102108,27
A102108_29,taz,7:30 a.m. to 7:44 a.m.,A102108,29
A102108_31,taz,7:45 a.m. to 7:59 a.m.,A102108,31
A102108_33,taz,8:00 a.m. to 8:14 a.m.,A102108,33
A102108_35,taz,8:15 a.m. to 8:29 a.m.,A102108,35
A102108_37,taz,8:30 a.m. to 8:44 a.m.,A102108,37
A102108_39,taz,8:45 a.m. to 8:59 a.m.,A102108,39
A102108_41,taz,9:00 a.m. to 9:14 a.m.,A102108,41
A102108_43,taz,9:15 a.m. to 9:29 a.m.,A102108,43
A102108_45,taz,9:30 a.m. to 9:44 a.m.,A102108,45
A102108_47,taz,9:45 a.m. to 9:59 a.m.,A102108,47
A102108_49,taz,10:00 a.m. to 10:14 a.m.,A102108,49
A102108_51,taz,10:15 a.m. to 10:29 a.m.,A102108,51
A102108_53,taz,10:30 a.m. to 10:44 a.m.,A102108,53
A102108_55,taz,10:45 a.m. to 10:59 a.m.,A102108,55
A102108_57,taz,11:00 a.m. to 11:59 a.m.,A102108,57
A102108_59,taz,12:00 p.m. to 12:59 p.m.,A102108,59
A102108_61,taz,1:00 p.m. to 1:59 p.m.,A102108,61
A102108_63,taz,2:00 p.m. to 2:59 p.m.,A102108,63
A102108_65,taz,3:00 p.m. to 3:59 p.m.,A102108,65
A102108_67,taz,4:00 p.m. to 4:59 p.m.,A102108,67
A102108_69,taz,5:00 p.m. to 5:59 p.m.,A102108,69
A102108_71,taz,6:00 p.m. to 6:59 p.m.,A102108,71
A102108_73,taz,7:00 p.m. to 7:59 p.m.,A102108,73
A102108_75,taz,8:00 p.m. to 8:59 p.m.,A102108,75
A102108_77,taz,9:00 p.m. to 9:59 p.m.,A102108,77
A102108_79,taz,10:00 p.m. to 10:59 p.m.,A102108,79
A102108_81,taz,11:00 p.m. to 11:59 p.m.,A102108,81
A102108_83,taz,12:00 a.m. to 4:59 a.m.,A102108,83
A102108_85,taz,Worked at home,A102108,85
A102109_5,taz,"Total, usual hours worked per week",A102109,5
A102109_7,taz,Usually worked 1 to 14 hours per week,A102109,7
A102109_9,taz,Usually worked 15 to 20 hours per week,A102109,9
A102109_11,taz,Usually worked 21 to 34 hours per week,A102109,11
A102109_13,taz,Usually worked 35 to 40 hours per week,A102109,13
A102109_15,taz,Usually worked 41 to 55 hours per week,A102109,15
A102109_17,taz,Usually worked 56 hours or more per week,A102109,17
A102110_5,taz,All workers,A102110,5
A102110_7,taz,Did not work at home,A102110,7
A102110_9,taz,Less than 5 minutes,A102110,9
A102110_11,taz,5 to 14 minutes,A102110,11
A102110_13,taz,15 to 19 minutes,A102110,13
A102110_15,taz,20 to 29 minutes,A102110,15
A102110_17,taz,30 to 44 minutes,A102110,17
A102110_19,taz,45 to 59 minutes,A102110,19
A102110_21,taz,60 to 74 minutes,A102110,21
A102110_23,taz,75 to 89 minutes,A102110,23
A102110_25,taz,90 minutes or more,A102110,25
A102110_27,taz,Worked at home,A102110,27
A103100_5,taz,Total workers in households,A103100,5
A111102_5,taz,"Total, vehicles available",A111102,5
A111102_7,taz,0 vehicles,A111102,7
A111102_9,taz,1 vehicle,A111102,9
A111102_11,taz,2 vehicles,A111102,11
A111102_13,taz,3 vehicles,A111102,13
A111102_15,taz,4-or-more vehicles,A111102,15
A112100_5,taz,Total households,A112100,5
A112101_5,taz,All households,A112101,5
A112101_7,taz,No persons under age 18,A112101,7
A112101_9,taz,1 person under age 18,A112101,9
A112101_11,taz,2+ persons under age 18,A112101,11
A112106_5,taz,Total households,A112106,5
A112106_7,taz,1-person household,A112106,7
A112106_9,taz,2-person household,A112106,9
A112106_11,taz,3-person household,A112106,11
A112106_13,taz,4-or-more person household,A112106,13
A112109_5,taz,"Total, number of workers in household",A112109,5
A112109_7,taz,0 workers,A112109,7
A112109_9,taz,1 worker,A112109,9
A112109_11,taz,2 workers,A112109,11
A112109_13,taz,3 workers,A112109,13
A112109_15,taz,4-or-more workers,A112109,15
A113100_5,taz,"Total, poverty status",A113100,5
A113100_7,taz,Below 100 percent of the poverty level,A113100,7
A113100_9,taz,100 to 149 percent of the poverty level,A113100,9
A113100_11,taz,At or above 150 percent of the poverty level,A113100,11
B111103_5,taz,Aggregate number of vehicles available,B111103,5
B112108_5,taz,Mean number of persons per household,B112108,5
A101100_5,tad,Total population (All persons),A101100,5
A101102_5,tad,All persons,A101102,5
A101102_7,tad,Living in urban area,A101102,7
A101102_9,tad,Living in rural area,A101102,9
A101103_5,tad,"Total persons, Hispanic/Latino origin",A101103,5
A101103_7,tad,Hispanic or Latino,A101103,7
A101103_9,tad,Not Hispanic or Latino,A101103,9
A101104_5,tad,"Total, length of US residence",A101104,5
A101104_7,tad,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,7
A101104_9,tad,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,9
A101104_11,tad,In the US 3 to 5 years,A101104,11
A101104_13,tad,In the US 6 to 9 years,A101104,13
A101104_15,tad,In the US 10 or more years,A101104,15
A101108_5,tad,All races,A101108,5
A101108_7,tad,White alone,A101108,7
A101108_9,tad,Black or African American alone,A101108,9
A101108_11,tad,Asian alone,A101108,11
A101108_13,tad,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108,13
A101109_5,tad,"Total, school enrollment",A101109,5
A101109_7,tad,"Enrolled in nursery school, preschool, or kindergarten",A101109,7
A101109_9,tad,Enrolled in grade 1 to grade 8,A101109,9
A101109_11,tad,Enrolled in grade 9 to grade 12,A101109,11
A101109_13,tad,"Enrolled in college, graduate, or professional school",A101109,13
A101109_15,tad,Age 3 and over and not enrolled,A101109,15
A101109_17,tad,Age under 3,A101109,17
A102101_5,tad,Workers 16 and over,A102101,5
A102104_5,tad,"Total, workers' earnings in the past 12 months",A102104,5
A102104_7,tad,"$1 to $9,999 or loss",A102104,7
A102104_9,tad,"$10,000 to $14,999",A102104,9
A102104_11,tad,"$15,000 to $24,999",A102104,11
A102104_13,tad,"$25,000 to $34,999",A102104,13
A102104_15,tad,"$35,000 to $49,999",A102104,15
A102104_17,tad,"$50,000 to $64,999",A102104,17
A102104_19,tad,"$65,000 to $74,999",A102104,19
A102104_21,tad,"$75,000 to $99,999",A102104,21
A102104_23,tad,"$100,000 or more",A102104,23
A102104_25,tad,No earnings in the past 12 months,A102104,25
A102105_5,tad,"Total, all industries",A102105,5
A102105_7,tad,"Agriculture, forestry, fishing and hunting, and mining",A102105,7
A102105_9,tad,Construction,A102105,9
A102105_11,tad,Manufacturing,A102105,11
A102105_13,tad,Wholesale trade,A102105,13
A102105_15,tad,Retail trade,A102105,15
A102105_17,tad,"Transportation and warehousing, and utilities",A102105,17
A102105_19,tad,Information,A102105,19
A102105_21,tad,"Finance, insurance, real estate and rental and leasing",A102105,21
A102105_23,tad,"Professional, scientific, management, administrative,  and waste management services",A102105,23
A102105_25,tad,"Educational, health and social services",A102105,25
A102105_27,tad,"Arts, entertainment, recreation, accommodation and food services",A102105,27
A102105_29,tad,Other services (except public administration),A102105,29
A102105_31,tad,Public administration,A102105,31
A102105_33,tad,Armed forces,A102105,33
A102106_5,tad,"Total, means of transportation",A102106,5
A102106_7,tad,"Car, truck, or van -- Drove alone",A102106,7
A102106_9,tad,"Car, truck, or van -- In a 2-person carpool",A102106,9
A102106_11,tad,"Car, truck, or van -- In a 3-person carpool",A102106,11
A102106_13,tad,"Car, truck, or van -- In a 4-person carpool",A102106,13
A102106_15,tad,"Car, truck, or van -- In a 5-or-6-person carpool",A102106,15
A102106_17,tad,"Car, truck, or van -- In a 7-or-more-person carpool",A102106,17
A102106_19,tad,Bus or trolley bus,A102106,19
A102106_21,tad,Streetcar or trolley car,A102106,21
A102106_23,tad,Subway or elevated,A102106,23
A102106_25,tad,Railroad,A102106,25
A102106_27,tad,Ferryboat,A102106,27
A102106_29,tad,Bicycle,A102106,29
A102106_31,tad,Walked,A102106,31
A102106_33,tad,Taxicab,A102106,33
A102106_35,tad,Motorcycle,A102106,35
A102106_37,tad,Other method,A102106,37
A102106_39,tad,Worked at home,A102106,39
A102107_5,tad,"Total, all occupations",A102107,5
A102107_7,tad,Management occupations,A102107,7
A102107_9,tad,Farmers and farm managers,A102107,9
A102107_11,tad,Business and financial operations specialists,A102107,11
A102107_13,tad,Computer and mathematical occupations,A102107,13
A102107_15,tad,Architecture and engineering occupations,A102107,15
A102107_17,tad,"Life, physical, and social science occupations",A102107,17
A102107_19,tad,Community and social service occupations,A102107,19
A102107_21,tad,Legal occupations,A102107,21
A102107_23,tad,"Education, training, and library occupations",A102107,23
A102107_25,tad,"Arts, design, entertainment, sports, and media occupations",A102107,25
A102107_27,tad,Healthcare practitioners and technicians occpuations,A102107,27
A102107_29,tad,Healthcare support occupations,A102107,29
A102107_31,tad,Protective service occupations,A102107,31
A102107_33,tad,Food preparation and serving related occupations,A102107,33
A102107_35,tad,Building and grounds cleaning and maintenance occupations,A102107,35
A102107_37,tad,Personal care and service occupations,A102107,37
A102107_39,tad,Sales and related occupations,A102107,39
A102107_41,tad,Office and administrative support occupations,A102107,41
A102107_43,tad,"Farming, fishing, and forestry occupations",A102107,43
A102107_45,tad,Construction and extraction occupations,A102107,45
A102107_47,tad,"Installation, maintenance, and repair occupations",A102107,47
A102107_49,tad,Production occupations,A102107,49
A102107_51,tad,Transportation and material moving occupations,A102107,51
A102107_53,tad,Armed Forces,A102107,53
A102108_5,tad,All workers,A102108,5
A102108_7,tad,Did not work at home,A102108,7
A102108_9,tad,5:00 a.m. to 5:14 a.m.,A102108,9
A102108_11,tad,5:15 a.m. to 5:29 a.m.,A102108,11
A102108_13,tad,5:30 a.m. to 5:44 a.m.,A102108,13
A102108_15,tad,5:45 a.m. to 5:59 a.m.,A102108,15
A102108_17,tad,6:00 a.m. to 6:14 a.m.,A102108,17
A102108_19,tad,6:15 a.m. to 6:29 a.m.,A102108,19
A102108_21,tad,6:30 a.m. to 6:44 a.m.,A102108,21
A102108_23,tad,6:45 a.m. to 6:59 a.m.,A102108,23
A102108_25,tad,7:00 a.m. to 7:14 a.m.,A102108,25
A102108_27,tad,7:15 a.m. to 7:29 a.m.,A102108,27
A102108_29,tad,7:30 a.m. to 7:44 a.m.,A102108,29
A102108_31,tad,7:45 a.m. to 7:59 a.m.,A102108,31
A102108_33,tad,8:00 a.m. to 8:14 a.m.,A102108,33
A102108_35,tad,8:15 a.m. to 8:29 a.m.,A102108,35
A102108_37,tad,8:30 a.m. to 8:44 a.m.,A102108,37
A102108_39,tad,8:45 a.m. to 8:59 a.m.,A102108,39
A102108_41,tad,9:00 a.m. to 9:14 a.m.,A102108,41
A102108_43,tad,9:15 a.m. to 9:29 a.m.,A102108,43
A102108_45,tad,9:30 a.m. to 9:44 a.m.,A102108,45
A102108_47,tad,9:45 a.m. to 9:59 a.m.,A102108,47
A102108_49,tad,10:00 a.m. to 10:14 a.m.,A102108,49
A102108_51,tad,10:15 a.m. to 10:29 a.m.,A102108,51
A102108_53,tad,10:30 a.m. to 10:44 a.m.,A102108,53
A102108_55,tad,10:45 a.m. to 10:59 a.m.,A102108,55
A102108_57,tad,11:00 a.m. to 11:59 a.m.,A102108,57
A102108_59,tad,12:00 p.m. to 12:59 p.m.,A102108,59
A102108_61,tad,1:00 p.m. to 1:59 p.m.,A102108,61
A102108_63,tad,2:00 p.m. to 2:59 p.m.,A102108,63
A102108_65,tad,3:00 p.m. to 3:59 p.m.,A102108,65
A102108_67,tad,4:00 p.m. to 4:59 p.m.,A102108,67
A102108_69,tad,5:00 p.m. to 5:59 p.m.,A102108,69
A102108_71,tad,6:00 p.m. to 6:59 p.m.,A102108,71
A102108_73,tad,7:00 p.m. to 7:59 p.m.,A102108,73
A102108_75,tad,8:00 p.m. to 8:59 p.m.,A102108,75
A102108_77,tad,9:00 p.m. to 9:59 p.m.,A102108,77
A102108_79,tad,10:00 p.m. to 10:59 p.m.,A102108,79
A102108_81,tad,11:00 p.m. to 11:59 p.m.,A102108,81
A102108_83,tad,12:00 a.m. to 4:59 a.m.,A102108,83
A102108_85,tad,Worked at home,A102108,85
A102109_5,tad,"Total, usual hours worked per week",A102109,5
A102109_7,tad,Usually worked 1 to 14 hours per week,A102109,7
A102109_9,tad,Usually worked 15 to 20 hours per week,A102109,9
A102109_11,tad,Usually worked 21 to 34 hours per week,A102109,11
A102109_13,tad,Usually worked 35 to 40 hours per week,A102109,13
A102109_15,tad,Usually worked 41 to 55 hours per week,A102109,15
A102109_17,tad,Usually worked 56 hours or more per week,A102109,17
A102110_5,tad,All workers,A102110,5
A102110_7,tad,Did not work at home,A102110,7
A102110_9,tad,Less than 5 minutes,A102110,9
A102110_11,tad,5 to 14 minutes,A102110,11
A102110_13,tad,15 to 19 minutes,A102110,13
A102110_15,tad,20 to 29 minutes,A102110,15
A102110_17,tad,30 to 44 minutes,A102110,17
A102110_19,tad,45 to 59 minutes,A102110,19
A102110_21,tad,60 to 74 minutes,A102110,21
A102110_23,tad,75 to 89 minutes,A102110,23
A102110_25,tad,90 minutes or more,A102110,25
A102110_27,tad,Worked at home,A102110,27
A103100_5,tad,Total workers in households,A103100,5
A111102_5,tad,"Total, vehicles available",A111102,5
A111102_7,tad,0 vehicles,A111102,7
A111102_9,tad,1 vehicle,A111102,9
A111102_11,tad,2 vehicles,A111102,11
A111102_13,tad,3 vehicles,A111102,13
A111102_15,tad,4-or-more vehicles,A111102,15
A112100_5,tad,Total households,A112100,5
A112101_5,tad,All households,A112101,5
A112101_7,tad,No persons under age 18,A112101,7
A112101_9,tad,1 person under age 18,A112101,9
A112101_11,tad,2+ persons under age 18,A112101,11
A112106_5,tad,Total households,A112106,5
A112106_7,tad,1-person household,A112106,7
A112106_9,tad,2-person household,A112106,9
A112106_11,tad,3-person household,A112106,11
A112106_13,tad,4-or-more person household,A112106,13
A112109_5,tad,"Total, number of workers in household",A112109,5
A112109_7,tad,0 workers,A112109,7
A112109_9,tad,1 worker,A112109,9
A112109_11,tad,2 workers,A112109,11
A112109_13,tad,3 workers,A112109,13
A112109_15,tad,4-or-more workers,A112109,15
A113100_5,tad,"Total, poverty status",A113100,5
A113100_7,tad,Below 100 percent of the poverty level,A113100,7
A113100_9,tad,100 to 149 percent of the poverty level,A113100,9
A113100_11,tad,At or above 150 percent of the poverty level,A113100,11
B111103_5,tad,Aggregate number of vehicles available,B111103,5
B112108_5,tad,Mean number of persons per household,B112108,5
